 type bid, timestamp 1576858217.7552545, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858218.5712337, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858218.5712337, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858218.710012, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858218.710012, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858218.9248755, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858218.9248755, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858218.9253435, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858218.9253435, ticker MSFT, size 200, price 157.03,
 type ask, timestamp 1576858219.1284738, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858219.1284738, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858219.1522546, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.1522546, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858219.153194, ticker MSFT, size 237, price 157.05,
 type bid, timestamp 1576858219.153194, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858219.1606126, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.1606126, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858219.7274635, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.7274635, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858219.7673187, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.7673187, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858219.773314, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.773314, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858219.8545516, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.8545516, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858219.8917742, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858219.8917742, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858220.042405, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858220.042405, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858220.062223, ticker MSFT, size 100, price 157.05,
 type bid, timestamp 1576858220.062223, ticker MSFT, size 100, price 157.04,
 type last, timestamp 1576858220.0624168, ticker MSFT, size 15, price 157.05,
 type ask, timestamp 1576858220.0624168, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.0624168, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858220.0957713, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.0957713, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858220.1101396, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.1101396, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858220.156558, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.156558, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858220.1922202, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.1922202, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858220.4361732, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.4361732, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858220.4371827, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.4371827, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858220.506536, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858220.506536, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858221.1454065, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858221.1454065, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858221.1568546, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858221.1568546, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858222.0423794, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858222.0423794, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858222.0454514, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858222.0454514, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858222.7274659, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858222.7274659, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858222.7454367, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858222.7454367, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858222.7966413, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858222.7966413, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858222.871655, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858222.871655, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858223.2527618, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.2527618, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858223.425886, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.425886, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858223.5551314, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.5551314, ticker MSFT, size 337, price 157.04,
 type ask, timestamp 1576858223.5587897, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.5587897, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858223.6157906, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.6157906, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858223.6471584, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.6471584, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858223.6616514, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.6616514, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858223.747845, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.747845, ticker MSFT, size 200, price 157.05,
 type last, timestamp 1576858223.8607125, ticker MSFT, size 100, price 157.055,
 type ask, timestamp 1576858223.9187, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.9187, ticker MSFT, size 100, price 157.05,
